2423450,29.66,59.15
2423500,29.67,59.15
2423550,29.65,59.17
2423600,29.64,59.17
2423650,29.66,59.17
2423700,29.68,59.19
2423750,29.65,59.18
2423800,29.65,59.16
2423850,29.64,59.16
2423900,29.67,59.16
2423950,29.65,59.17
2424000,29.65,59.17
2424050,29.65,59.17
2424100,29.66,59.16
2424150,29.65,59.15
2424200,29.65,59.19
2424250,29.64,59.17
2424300,29.66,59.17
2424350,29.66,59.18
2424400,29.65,59.17
2424450,29.67,59.21
2424500,29.68,59.21
2424550,29.66,59.18
2424600,29.67,59.18
2424650,29.65,59.15
2424700,29.67,59.16
2424750,29.67,59.14
2424800,29.66,59.21
2424850,29.67,59.23
2424900,29.66,59.17
2424950,29.65,59.17
2425000,29.68,59.21
2425050,29.67,59.22
2425100,29.64,59.25
2425150,29.67,59.22
2425200,29.67,59.17
2425250,29.68,59.19
2425300,29.66,59.18
2425350,29.67,59.22
2425400,29.67,59.18
2425450,29.66,59.21
2425500,29.67,59.20
2425550,29.67,59.21
2425600,29.66,59.24
2425650,29.67,59.22
2425700,29.67,59.23
2425750,29.67,59.25
2425800,29.67,59.26
2425850,29.67,59.23
2425900,29.67,59.25
2425950,29.67,59.34
2426000,29.66,59.35
2426050,29.66,59.34
2426100,29.67,59.34
2426150,29.67,59.31
2426200,29.67,59.34
2426250,29.69,59.31
2426300,29.68,59.33
2426350,29.66,59.30
2426400,29.67,59.30
2426450,29.67,59.28
2426500,29.67,59.25
2426550,29.66,59.23
2426600,29.66,59.25
2426650,29.68,59.23
2426700,29.66,59.23
2426750,29.68,59.21
2426800,29.67,59.17
2426850,29.68,59.20
2426900,29.65,59.18
2426950,29.66,59.17
2427000,29.66,59.13
2427050,29.67,59.12
2427100,29.67,59.09
2427150,29.67,59.10
2427200,29.68,59.09
2427250,29.67,59.10
2427300,29.66,59.09
2427350,29.70,59.05
2427400,29.69,59.04
2427450,29.70,59.05
2427500,29.68,59.05
2427550,29.68,59.00
2427600,29.68,59.01
2427650,29.68,59.00
2427700,29.70,59.04
2427750,29.68,58.99
2427800,29.68,59.03
2427850,29.68,58.99
2427900,29.67,59.02
2427950,29.67,59.02
2428000,29.69,58.99
2428050,29.69,59.02
2428100,29.70,59.00
2428150,29.70,59.01
2428200,29.69,58.96
2428250,29.68,58.97
2428300,29.69,58.93
2428350,29.68,58.99
2428400,29.70,59.01
2428450,29.69,58.98
2428500,29.69,58.96
2428550,29.70,58.96
2428600,29.69,59.00
2428650,29.70,58.94
2428700,29.69,58.94
2428750,29.70,58.94
2428800,29.71,58.94
2428850,29.69,58.94
2428900,29.71,58.94
2428950,29.69,58.91
2429000,29.71,58.91
2429050,29.71,58.90
2429100,29.69,58.90
2429150,29.69,58.89
2429200,29.71,58.88
2429250,29.71,58.87
2429300,29.71,58.83
2429350,29.72,58.87
2429400,29.70,58.87
2429450,29.70,58.86
2429500,29.70,58.88
2429550,29.70,58.90
2429600,29.69,58.87
2429650,29.69,58.86
2429700,29.70,58.92
2429750,29.71,58.86
2429800,29.69,58.86
2429850,29.70,58.87
2429900,29.69,58.84
2429950,29.69,58.83
2430000,29.68,58.85
2430050,29.69,58.79
2430100,29.71,58.84
2430150,29.71,58.81
2430200,29.68,58.79
2430250,29.70,58.77
2430300,29.69,58.80
2430350,29.70,58.81
2430400,29.71,58.74
2430450,29.70,58.74
2430500,29.70,58.72
2430550,29.70,58.69
2430600,29.68,58.65
2430650,29.70,58.69
2430700,29.69,58.68
2430750,29.70,58.70
2430800,29.69,58.67
2430850,29.69,58.66
2430900,29.69,58.61
2430950,29.70,58.64
2431000,29.69,58.60
2431050,29.70,58.60
2431100,29.71,58.59
2431150,29.69,58.61
2431200,29.72,58.56
2431250,29.69,58.57
2431300,29.71,58.58
2431350,29.72,58.56
2431400,29.71,58.51
2431450,29.70,58.51
2431500,29.72,58.54
2431550,29.71,58.53
2431600,29.71,58.51
2431650,29.71,58.49
2431700,29.71,58.48
2431750,29.70,58.49
2431800,29.70,58.45
2431850,29.72,58.42
2431900,29.70,58.42
2431950,29.72,58.39
2432000,29.71,58.36
2432050,29.72,58.40
2432100,29.71,58.36
2432150,29.72,58.33
2432200,29.74,58.36
2432250,29.71,58.31
2432300,29.71,58.31
2432350,29.71,58.28
2432400,29.72,58.27
2432450,29.73,58.27
2432500,29.72,58.23
2432550,29.72,58.20
2432600,29.72,58.23
2432650,29.73,58.26
2432700,29.72,58.17
2432750,29.71,58.15
2432800,29.70,58.15
2432850,29.69,58.12
2432900,29.72,58.15
2432950,29.73,58.19
2433000,29.73,58.17
2433050,29.72,58.19
2433100,29.72,58.21
2433150,29.72,58.19
2433200,29.74,58.21
2433250,29.73,58.22
2433300,29.73,58.26
2433350,29.73,58.23
2433400,29.71,58.24
2433450,29.72,58.22
2433500,29.72,58.23
2433550,29.71,58.22
2433600,29.72,58.19
2433650,29.72,58.16
2433700,29.70,58.20
2433750,29.71,58.22
2433800,29.70,58.18
2433850,29.71,58.20
2433900,29.70,58.13
2433950,29.70,58.12
2434000,29.69,58.11
2434050,29.70,58.16
2434100,29.69,58.12
2434150,29.70,58.12
2434200,29.70,58.12
2434250,29.70,58.10
2434300,29.70,58.08
2434350,29.71,58.07
2434400,29.72,58.06
2434450,29.70,58.02
2434500,29.72,58.06
2434550,29.71,57.99
2434600,29.70,57.98
2434650,29.71,58.00
2434700,29.70,58.01
2434750,29.71,58.03
2434800,29.70,58.05
2434850,29.68,58.01
2434900,29.69,58.03
2434950,29.70,58.05
2435000,29.69,58.06
2435050,29.71,58.06
2435100,29.70,58.02
2435150,29.70,57.99
2435200,29.69,57.93
2435250,29.70,57.94
2435300,29.68,57.96
2435350,29.68,57.93
2435400,29.68,57.93
2435450,29.68,57.94
2435500,29.68,57.95
2435550,29.67,57.96
2435600,29.69,57.94
2435650,29.67,57.90
2435700,29.67,57.88
2435750,29.68,57.90
2435800,29.67,57.87
2435850,29.67,57.83
2435900,29.67,57.83
2435950,29.65,57.82
2436000,29.65,57.77
2436050,29.66,57.74
2436100,29.67,57.79
2436150,29.67,57.75
2436200,29.64,57.75
2436250,29.66,57.72
2436300,29.67,57.71
2436350,29.65,57.70
2436400,29.67,57.68
2436450,29.66,57.66
2436500,29.66,57.66
2436550,29.64,57.65
2436600,29.65,57.65
2436650,29.65,57.72
2436700,29.65,57.75
2436750,29.63,57.75
2436800,29.64,57.75
2436850,29.63,57.74
2436900,29.63,57.79
2436950,29.63,57.80
2437000,29.65,57.84
2437050,29.64,57.82
2437100,29.63,57.90
2437150,29.63,57.90
2437200,29.63,57.93
2437250,29.64,57.98
2437300,29.61,57.98
2437350,29.62,57.98
2437400,29.62,58.04
2437450,29.61,58.04
2437500,29.62,58.03
2437550,29.61,58.03
2437600,29.61,58.07
2437650,29.61,58.10
2437700,29.61,58.11
2437750,29.63,58.10
2437800,29.60,58.10
2437850,29.62,58.09
2437900,29.61,58.09
2437950,29.61,58.10
2438000,29.60,58.10
2438050,29.60,58.12
2438100,29.60,58.09
2438150,29.59,58.08
2438200,29.60,58.07
2438250,29.60,58.05
2438300,29.58,58.02
2438350,29.60,58.05
2438400,29.60,58.04
2438450,29.59,58.00
2438500,29.60,58.04
2438550,29.59,58.02
2438600,29.59,58.00
2438650,29.61,58.05
2438700,29.59,58.11
2438750,29.59,58.13
2438800,29.58,58.15
2438850,29.59,58.20
2438900,29.60,58.24
2438950,29.60,58.27
2439000,29.60,58.30
2439050,29.58,58.31
2439100,29.58,58.39
2439150,29.60,58.42
2439200,29.60,58.50
2439250,29.60,58.57
2439300,29.60,58.58
2439350,29.59,58.60
2439400,29.59,58.67
2439450,29.59,58.72
2439500,29.59,58.76
2439550,29.60,58.81
2439600,29.58,58.84
2439650,29.58,58.86
2439700,29.58,58.92
2439750,29.60,58.95
2439800,29.59,58.95
2439850,29.59,58.99
2439900,29.59,59.02
2439950,29.58,59.04
2440000,29.58,59.07
2440050,29.57,59.09
2440100,29.57,59.08
2440150,29.57,59.12
2440200,29.58,59.17
2440250,29.57,59.14
2440300,29.58,59.18
2440350,29.57,59.16
2440400,29.58,59.16
2440450,29.57,59.21
2440500,29.57,59.22
2440550,29.57,59.22
2440600,29.58,59.23
2440650,29.55,59.26
2440700,29.57,59.24
2440750,29.56,59.25
2440800,29.55,59.26
2440850,29.55,59.28
2440900,29.56,59.25
2440950,29.53,59.26
2441000,29.55,59.37
2441050,29.56,59.34
2441100,29.55,59.38
2441150,29.58,59.43
2441200,29.56,59.43
2441250,29.56,59.51
2441300,29.57,59.53
2441350,29.57,59.55
2441400,29.55,59.56
2441450,29.55,59.61
