9.436,0.678,3.807,0.0341,-0.0354,0.0280,29.22
9.424,0.721,3.836,0.0059,-0.0376,0.0274,29.22
9.392,0.737,3.840,0.0008,-0.0245,0.0115,29.21
9.366,0.781,3.819,0.0131,-0.0051,-0.0053,29.21
9.342,0.783,3.847,0.0272,0.0168,-0.0099,29.22
9.357,0.711,3.857,0.0320,0.0272,0.0013,29.22
9.373,0.649,3.857,0.0109,0.0205,0.0171,29.20
9.400,0.752,3.862,-0.0053,0.0115,0.0133,29.20
9.337,0.723,3.869,-0.0013,0.0075,-0.0013,29.20
9.335,0.721,3.824,0.0069,0.0059,-0.0061,29.22
9.306,0.709,3.833,0.0261,0.0085,-0.0003,29.19
9.270,0.742,3.845,0.0362,0.0037,0.0144,29.22
9.325,0.716,3.871,0.0378,0.0048,0.0128,29.23
9.349,0.718,3.871,0.0456,0.0163,0.0019,29.22
9.323,0.678,3.891,0.0485,0.0149,0.0035,29.22
9.412,0.651,3.941,0.0045,-0.0155,0.0072,29.22
9.378,0.766,3.682,-0.0314,-0.0338,0.0085,29.21
9.297,0.754,3.812,0.0165,-0.0072,0.0059,29.21
9.392,0.747,3.773,-0.0064,-0.0157,-0.0075,29.22
9.321,0.737,3.879,-0.0141,-0.0184,-0.0024,29.22
9.292,0.728,3.852,0.0117,0.0032,0.0099,29.23
9.263,0.747,3.807,0.0485,0.0120,0.0224,29.21
9.395,0.694,3.843,0.0701,0.0096,0.0248,29.23
9.464,0.642,3.903,0.0573,0.0043,0.0242,29.22
9.421,0.673,3.924,0.0285,-0.0061,0.0264,29.21
9.359,0.759,3.840,0.0048,-0.0155,0.0179,29.21
9.306,0.754,3.855,0.0354,-0.0032,0.0035,29.22
9.282,0.737,3.867,0.0653,0.0088,0.0043,29.23
9.278,0.742,3.898,0.0546,0.0072,0.0213,29.22
9.345,0.754,3.879,0.0410,0.0061,0.0208,29.21
9.392,0.721,3.859,0.0418,0.0091,0.0152,29.23
9.354,0.678,3.941,0.0325,0.0048,0.0205,29.21
