1825550,26.01,81.50
1825600,26.02,81.52
1825650,26.01,81.51
1825700,26.00,81.49
1825750,26.00,81.51
1825800,26.02,81.52
1825850,26.00,81.52
1825900,26.02,81.50
1825950,26.01,81.49
1826000,26.01,81.51
1826050,26.01,81.50
1826100,26.02,81.53
1826150,26.01,81.53
1826200,26.01,81.57
1826250,26.01,81.54
1826300,26.02,81.54
1826350,26.01,81.57
1826400,26.02,81.60
1826450,26.02,81.57
1826500,26.02,81.58
1826550,26.03,81.58
1826600,26.03,81.60
1826650,26.04,81.59
1826700,26.00,81.63
1826750,26.00,81.61
1826800,26.04,81.63
1826850,26.02,81.65
1826900,26.02,81.63
1826950,26.02,81.60
1827000,26.02,81.63
1827050,26.03,81.65
1827100,26.02,81.66
1827150,26.04,81.68
1827200,26.03,81.65
1827250,26.04,81.64
1827300,26.02,81.65
1827350,26.03,81.67
1827400,26.03,81.64
1827450,26.03,81.68
1827500,26.03,81.64
1827550,26.02,81.64
1827600,26.04,81.67
1827650,26.02,81.66
1827700,26.05,81.69
1827750,26.04,81.69
1827800,26.04,81.71
1827850,26.03,81.71
1827900,26.03,81.72
1827950,26.04,81.73
1828000,26.04,81.71
1828050,26.03,81.75
1828100,26.05,81.74
1828150,26.05,81.73
1828200,26.05,81.75
1828250,26.05,81.75
1828300,26.03,81.76
1828350,26.04,81.78
1828400,26.02,81.81
1828450,26.03,81.77
1828500,26.04,81.80
1828550,26.02,81.79
1828600,26.03,81.82
1828650,26.02,81.81
1828700,26.04,81.80
1828750,26.05,81.82
1828800,26.04,81.79
1828850,26.03,81.83
1828900,26.05,81.81
1828950,26.05,81.84
1829000,26.02,81.83
1829050,26.03,81.82
1829100,26.03,81.83
1829150,26.04,81.84
1829200,26.05,81.84
1829250,26.03,81.86
1829300,26.03,81.85
1829350,26.04,81.90
1829400,26.06,81.89
1829450,26.04,81.90
1829500,26.04,81.91
1829550,26.03,81.92
1829600,26.05,81.93
1829650,26.05,81.91
1829700,26.03,81.94
1829750,26.04,81.94
1829800,26.05,81.91
1829850,26.04,81.96
1829900,26.04,81.96
1829950,26.03,81.95
1830000,26.04,81.95
1830050,26.02,81.94
1830100,26.03,81.92
1830150,26.03,81.95
1830200,26.04,81.94
1830250,26.04,81.97
1830300,26.03,81.98
1830350,26.03,82.00
1830400,26.05,81.98
1830450,26.03,81.99
1830500,26.04,81.96
1830550,26.04,81.98
1830600,26.03,81.97
1830650,26.04,81.99
1830700,26.06,82.00
1830750,26.05,82.00
