-2.06,0.38,9.72,9.95,IDLE
-2.03,0.36,9.67,9.89,IDLE
-2.04,0.34,9.69,9.91,IDLE
-2.03,0.35,9.69,9.90,IDLE
-2.02,0.38,9.70,9.91,IDLE
-2.07,0.38,9.63,9.86,IDLE
-2.00,0.41,9.62,9.83,IDLE
-2.03,0.38,9.67,9.89,IDLE
-2.09,0.38,9.69,9.92,IDLE
-2.07,0.35,9.68,9.90,IDLE
-2.09,0.33,9.69,9.92,IDLE
-2.06,0.40,9.70,9.92,IDLE
-2.04,0.35,9.72,9.94,IDLE
-2.07,0.37,9.72,9.94,IDLE
-2.05,0.33,9.67,9.89,IDLE
-2.04,0.37,9.70,9.92,IDLE
-2.00,0.35,9.71,9.92,IDLE
-2.01,0.36,9.70,9.91,IDLE
-2.01,0.35,9.70,9.92,IDLE
-2.00,0.39,9.71,9.92,IDLE
-1.99,0.39,9.68,9.90,IDLE
-2.03,0.35,9.72,9.94,IDLE
-2.06,0.38,9.72,9.94,IDLE
-2.03,0.36,9.70,9.92,IDLE
-2.05,0.34,9.71,9.93,IDLE
-2.06,0.34,9.70,9.92,IDLE
-2.02,0.40,9.73,9.94,IDLE
-2.02,0.38,9.72,9.93,IDLE
-2.06,0.39,9.70,9.92,IDLE
-2.06,0.35,9.67,9.90,IDLE
-2.09,0.33,9.67,9.90,IDLE
-2.06,0.38,9.67,9.89,IDLE
-2.03,0.38,9.71,9.92,IDLE
-2.03,0.38,9.73,9.95,IDLE
-2.03,0.39,9.72,9.93,IDLE
-2.03,0.36,9.70,9.92,IDLE
-2.05,0.38,9.70,9.92,IDLE
-2.05,0.37,9.74,9.96,IDLE
-2.05,0.39,9.73,9.95,IDLE
-2.04,0.41,9.71,9.93,IDLE
-2.00,0.41,9.71,9.92,IDLE
-2.04,0.41,9.68,9.90,IDLE
-2.04,0.40,9.69,9.91,IDLE
-2.05,0.39,9.69,9.92,IDLE
-2.06,0.38,9.68,9.90,IDLE
-2.05,0.38,9.68,9.91,IDLE
-2.04,0.38,9.68,9.90,IDLE
-2.04,0.39,9.68,9.90,IDLE
-2.03,0.39,9.67,9.89,IDLE
-2.00,0.40,9.69,9.90,IDLE
-2.03,0.38,9.73,9.94,IDLE
-2.04,0.38,9.71,9.93,IDLE
-2.08,0.37,9.69,9.92,IDLE
-2.05,0.39,9.68,9.91,IDLE
-2.03,0.38,9.68,9.90,IDLE
-2.04,0.39,9.71,9.93,IDLE
-2.08,0.37,9.72,9.94,IDLE
-2.06,0.39,9.68,9.91,IDLE
-2.03,0.41,9.70,9.92,IDLE
-2.04,0.37,9.70,9.92,IDLE
-2.08,0.42,9.69,9.92,IDLE
-2.04,0.36,9.70,9.92,IDLE
-2.06,0.42,9.70,9.92,IDLE
-2.05,0.38,9.72,9.94,IDLE
-2.03,0.37,9.67,9.89,IDLE
-2.02,0.37,9.70,9.91,IDLE
-2.02,0.39,9.69,9.91,IDLE
-2.03,0.39,9.71,9.93,IDLE
-2.07,0.38,9.71,9.93,IDLE
-2.05,0.40,9.72,9.94,IDLE
-2.04,0.39,9.70,9.92,IDLE
-2.04,0.35,9.68,9.90,IDLE
-2.06,0.39,9.71,9.93,IDLE
-2.05,0.37,9.73,9.95,IDLE
-2.06,0.36,9.71,9.93,IDLE
-2.03,0.35,9.68,9.90,IDLE
-2.04,0.37,9.70,9.92,IDLE
-2.04,0.37,9.67,9.89,IDLE
-2.04,0.38,9.72,9.94,IDLE
-2.05,0.36,9.68,9.90,IDLE
-2.05,0.39,9.70,9.92,IDLE
-2.06,0.38,9.71,9.93,IDLE
-2.06,0.36,9.70,9.93,IDLE
-2.02,0.38,9.69,9.91,IDLE
-2.04,0.38,9.70,9.92,IDLE
-2.06,0.35,9.71,9.93,IDLE
-2.05,0.37,9.72,9.94,IDLE
-2.04,0.38,9.68,9.90,IDLE
