536494,31.30,54.28,9.507,0.400,3.417,0.041,-0.008,-0.001,10.111,10.155
536544,31.31,54.25,9.517,0.493,3.548,0.030,0.039,0.016,10.169,10.156
536594,31.32,54.25,9.457,0.543,3.517,0.098,-0.011,0.010,10.105,10.151
536644,31.31,54.26,9.512,0.594,3.548,0.017,-0.022,0.013,10.170,10.153
536694,31.31,54.23,9.586,0.455,3.486,0.095,-0.028,-0.024,10.211,10.159
536744,31.32,54.23,9.596,0.517,3.467,0.026,-0.009,0.008,10.216,10.165
536794,31.32,54.26,9.601,0.438,3.419,0.068,0.077,0.014,10.201,10.168
536844,31.32,54.24,9.448,0.503,3.579,0.059,0.012,0.050,10.115,10.163
536894,31.32,54.23,9.529,0.453,3.570,0.051,-0.010,0.030,10.186,10.165
536944,31.32,54.24,9.550,0.472,3.436,0.049,0.017,0.021,10.161,10.165
536994,31.30,54.20,9.550,0.551,3.567,0.079,0.007,0.017,10.210,10.169
537044,31.33,54.26,9.457,0.500,3.649,0.040,0.023,0.034,10.149,10.167
537094,31.32,54.25,9.491,0.484,3.565,0.002,0.034,-0.020,10.150,10.165
537144,31.33,54.24,9.651,0.479,3.646,0.001,0.021,0.037,10.328,10.182
537195,31.32,54.23,9.450,0.476,3.555,0.028,-0.014,0.034,10.108,10.174
537245,31.32,54.21,9.366,0.551,3.838,-0.037,0.045,0.062,10.137,10.171
537294,31.32,54.21,9.596,0.283,3.503,0.023,0.027,0.014,10.219,10.175
537346,31.30,54.23,9.450,0.443,3.632,-0.061,-0.038,0.111,10.134,10.171
537395,31.31,54.22,9.246,0.563,3.733,0.039,-0.052,0.046,9.987,10.153
537447,31.30,54.22,9.560,0.357,3.551,-0.084,0.043,0.097,10.204,10.158
537496,31.31,54.25,9.579,0.144,3.625,0.050,0.033,0.062,10.243,10.167
537545,31.31,54.21,9.618,0.117,3.680,-0.064,-0.050,0.128,10.298,10.180
537594,31.32,54.25,9.476,0.213,3.670,0.048,0.096,0.046,10.164,10.178
537644,31.31,54.23,9.342,0.251,3.534,0.022,-0.003,0.050,9.991,10.159
537694,31.30,54.25,9.694,0.036,3.584,0.048,0.086,-0.043,10.336,10.177
537744,31.32,54.23,9.407,0.275,3.627,-0.008,0.026,0.048,10.086,10.168
537794,31.33,54.22,9.639,0.259,3.572,0.116,0.047,-0.039,10.283,10.179
537844,31.32,54.24,9.392,0.400,3.864,0.054,0.112,0.021,10.164,10.178
537894,31.32,54.26,9.349,0.328,3.773,0.040,0.131,-0.015,10.087,10.169
537944,31.30,54.26,9.661,0.184,3.960,0.069,0.141,0.001,10.442,10.196
537994,31.32,54.23,9.445,0.247,3.730,-0.018,0.020,0.048,10.158,10.192
538044,31.33,54.26,9.342,0.263,3.960,0.070,0.169,0.055,10.150,10.188
538094,31.32,54.24,9.225,0.287,3.874,0.016,0.144,0.053,10.009,10.170
538144,31.34,54.24,9.131,0.254,4.207,0.070,0.139,0.063,10.057,10.159
538194,31.34,54.26,9.364,0.294,4.082,-0.051,0.120,0.060,10.219,10.165
538244,31.32,54.21,9.172,0.275,4.216,0.043,0.183,0.049,10.099,10.158
538294,31.32,54.24,9.402,0.045,4.492,-0.033,0.212,0.059,10.420,10.184
538344,31.33,54.24,9.160,0.081,4.472,0.037,0.157,0.072,10.194,10.185
538394,31.31,54.26,9.457,-0.007,4.803,0.003,0.215,0.066,10.607,10.228
538444,31.32,54.22,8.993,-0.005,4.209,0.004,0.240,0.077,9.929,10.198
538494,31.32,54.23,9.052,0.000,4.568,0.001,0.223,0.076,10.140,10.192
538544,31.33,54.24,8.775,-0.256,4.520,0.074,0.214,0.075,9.874,10.160
538594,31.31,54.23,9.021,-0.127,4.999,0.059,0.204,0.054,10.315,10.176
538644,31.32,54.25,8.758,-0.062,4.745,0.059,0.193,0.074,9.961,10.154
538694,31.32,54.23,9.098,-0.196,5.169,0.068,0.298,0.068,10.466,10.185
538744,31.32,54.22,8.717,-0.113,4.997,0.026,0.270,0.086,10.048,10.172
538794,31.32,54.23,8.899,-0.204,5.351,0.080,0.301,0.078,10.386,10.193
538844,31.34,54.26,8.645,-0.038,5.078,0.074,0.281,0.131,10.027,10.176
538894,31.32,54.28,8.789,-0.122,5.361,0.106,0.412,0.125,10.296,10.188
538944,31.33,54.25,8.337,-0.144,5.655,0.143,0.338,0.140,10.075,10.177
538994,31.33,54.27,8.265,-0.280,5.705,0.046,0.521,0.105,10.047,10.164
539044,31.31,54.28,7.956,-0.177,6.026,0.072,0.387,0.117,9.982,10.146
539094,31.34,54.25,7.942,-0.378,6.244,0.111,0.430,0.100,10.109,10.142
539144,31.33,54.28,7.511,-0.299,6.536,0.063,0.520,0.117,9.961,10.124
539194,31.32,54.29,7.487,-0.419,6.752,0.195,0.419,0.154,10.090,10.121
539244,31.34,54.26,7.137,-0.409,7.027,0.128,0.383,0.205,10.024,10.111
